AssessmentId,AssessmentName,AssessmentSubject,AssessmentGrade,AssessmentType,AssessmentSubtype,AssessmentLabel,AssessmentVersion,AcademicYear,FullItemKey,BankKey,ItemId,Filename,Version,ItemType,Grade,Standard,Claim,Target,PassageId,ASL,Braille,LanguageBraille,DOK,Language,AllowCalculator,MathematicalPractice,MaxPoints,Glossary,ScoringEngine,Spanish,IsFieldTest,IsActive,ResponseRequired,AdminRequired,ItemPosition,MeasurementModel,Weight,ScorePoints,a,b0_b,b1_c,b2,b3,avg_b,bpref1,bpref2,bpref3,bpref4,bpref5,bpref6,bpref7,CommonCore,ClaimContentTarget,SecondaryCommonCore,SecondaryClaimContentTarget,CutPoint1,ScaledLow1,ScaledHigh1,CutPoint2,ScaledLow2,ScaledHigh2,CutPoint3,ScaledLow3,ScaledHigh3,CutPoint4,ScaledLow4,ScaledHigh4
(SBAC)SBAC-ICA-FIXED-G11E-COMBINED-Winter-2014-2015,SBAC-ICA-FIXED-G11E-COMBINED,ELA,11,interim,ICA,ELA G11 ICA,8042,2015,200-30524,200,30524,item-200-30524.xml,7994,HTQ,11,SBAC-ELA-v1:2-W|9-11,"2-W	","9-11	",,,,ENU-Braille,1,ENU,,,1,,Automatic with Machine Rubric,,FALSE,TRUE,TRUE,TRUE,30,IRT3PLn,1,1,0.64282,0.21756,0,,,0.21756,(SBAC)SBAC-ICA-FIXED-G11E-COMBINED-ELA-11-Winter-2014-2015,,SBAC-2-W|9-11,,,,,"11-12.L.2b	",2-W|9-11,,,1,2.30E+03,2.49E+03,2,2.49E+03,2.58E+03,3,2.58E+03,2.68E+03,4,2.68E+03,2.80E+03
(SBAC)SBAC-ICA-FIXED-G11E-COMBINED-Winter-2014-2015,SBAC-ICA-FIXED-G11E-COMBINED,ELA,11,interim,ICA,ELA G11 ICA,8042,2015,200-33597,200,33597,item-200-33597.xml,7994,HTQ,11,SBAC-ELA-v1:2-W|9-11,"2-W	","9-11	",,,,ENU-Braille,1,ENU,,,1,,Automatic with Machine Rubric,,FALSE,TRUE,TRUE,TRUE,28,IRT3PLn,1,1,0.58,0.75325,0,,,0.75325,(SBAC)SBAC-ICA-FIXED-G11E-COMBINED-ELA-11-Winter-2014-2015,,SBAC-2-W|9-11,,,,,"11-12.L.2a	",2-W|9-11,,,1,2.30E+03,2.49E+03,2,2.49E+03,2.58E+03,3,2.58E+03,2.68E+03,4,2.68E+03,2.80E+03
(SBAC)SBAC-ICA-FIXED-G11E-COMBINED-Winter-2014-2015,SBAC-ICA-FIXED-G11E-COMBINED,ELA,11,interim,ICA,ELA G11 ICA,8042,2015,200-36575,200,36575,item-200-36575.xml,7994,MC,11,SBAC-ELA-v1:1-IT|10-11,"1-IT	","10-11	",200-1148,,,ENU-Braille,1,ENU,,,1,,Automatic with Key,N,FALSE,TRUE,FALSE,FALSE,13,IRT3PLn,1,1,0.34694,0.04061,0,,,0.04061,(SBAC)SBAC-ICA-FIXED-G11E-COMBINED-ELA-11-Winter-2014-2015,,SBAC-1-IT|10-11,,,,,"11-12.RI.4	",1-IT|10-11,,,1,2.30E+03,2.49E+03,2,2.49E+03,2.58E+03,3,2.58E+03,2.68E+03,4,2.68E+03,2.80E+03
(SBAC)SBAC-ICA-FIXED-G11E-COMBINED-Winter-2014-2015,SBAC-ICA-FIXED-G11E-COMBINED,ELA,11,interim,ICA,ELA G11 ICA,8042,2015,200-36581,200,36581,item-200-36581.xml,8042,MC,11,SBAC-ELA-v1:1-IT|14-11,"1-IT	","14-11	",200-1148,,,ENU-Braille,3,ENU,,,1,,Automatic with Key,N,FALSE,TRUE,FALSE,FALSE,14,IRT3PLn,1,1,0.29347,1.08336,0,,,1.08336,(SBAC)SBAC-ICA-FIXED-G11E-COMBINED-ELA-11-Winter-2014-2015,,SBAC-1-IT|14-11,,,,,"11-12.L.5a	",1-IT|14-11,,,1,2.30E+03,2.49E+03,2,2.49E+03,2.58E+03,3,2.58E+03,2.68E+03,4,2.68E+03,2.80E+03
(SBAC)SBAC-ICA-FIXED-G11E-COMBINED-Winter-2014-2015,SBAC-ICA-FIXED-G11E-COMBINED,ELA,11,interim,ICA,ELA G11 ICA,8042,2015,200-37181,200,37181,item-200-37181.xml,7994,MC,11,SBAC-ELA-v1:1-IT|8-11,"1-IT	","8-11	",200-98,,,ENU-Braille,2,ENU,,,1,,Automatic with Key,N,FALSE,TRUE,FALSE,FALSE,6,IRT3PLn,1,1,0.55039,1.04507,0,,,1.04507,(SBAC)SBAC-ICA-FIXED-G11E-COMBINED-ELA-11-Winter-2014-2015,,SBAC-1-IT|8-11,,,,,"11-12.RI.1	",1-IT|8-11,,,1,2.30E+03,2.49E+03,2,2.49E+03,2.58E+03,3,2.58E+03,2.68E+03,4,2.68E+03,2.80E+03
(SBAC)SBAC-ICA-FIXED-G11E-COMBINED-Winter-2014-2015,SBAC-ICA-FIXED-G11E-COMBINED,ELA,11,interim,ICA,ELA G11 ICA,8042,2015,200-37185,200,37185,item-200-37185.xml,7994,MC,11,SBAC-ELA-v1:1-IT|10-11,"1-IT	","10-11	",200-98,,,ENU-Braille,2,ENU,,,1,,Automatic with Key,N,FALSE,TRUE,FALSE,FALSE,4,IRT3PLn,1,1,0.88877,-0.37487,0,,,-0.37487,(SBAC)SBAC-ICA-FIXED-G11E-COMBINED-ELA-11-Winter-2014-2015,,SBAC-1-IT|10-11,,,,,"11-12.L.4a	",1-IT|10-11,,,1,2.30E+03,2.49E+03,2,2.49E+03,2.58E+03,3,2.58E+03,2.68E+03,4,2.68E+03,2.80E+03
(SBAC)SBAC-ICA-FIXED-G11E-COMBINED-Winter-2014-2015,SBAC-ICA-FIXED-G11E-COMBINED,ELA,11,interim,ICA,ELA G11 ICA,8042,2015,200-41490,200,41490,item-200-41490.xml,7994,HTQ,11,SBAC-ELA-v1:1-IT|8-11,"1-IT	","8-11	",200-1148,,,ENU-Braille,2,ENU,,,1,,Automatic with Machine Rubric,N,FALSE,TRUE,FALSE,FALSE,15,IRT3PLn,1,1,0.47793,1.36552,0,,,1.36552,(SBAC)SBAC-ICA-FIXED-G11E-COMBINED-ELA-11-Winter-2014-2015,,SBAC-1-IT|8-11,,,,,"11-12.RI.1	",1-IT|8-11,,,1,2.30E+03,2.49E+03,2,2.49E+03,2.58E+03,3,2.58E+03,2.68E+03,4,2.68E+03,2.80E+03
(SBAC)SBAC-ICA-FIXED-G11E-COMBINED-Winter-2014-2015,SBAC-ICA-FIXED-G11E-COMBINED,ELA,11,interim,ICA,ELA G11 ICA,8042,2015,200-42131,200,42131,item-200-42131.xml,8042,MC,11,SBAC-ELA-v1:1-IT|8-11,"1-IT	","8-11	",200-44,,,ENU-Braille,2,ENU,,,1,,Automatic with Key,N,FALSE,TRUE,FALSE,FALSE,33,IRT3PLn,1,1,0.3553,1.00207,0,,,1.00207,(SBAC)SBAC-ICA-FIXED-G11E-COMBINED-ELA-11-Winter-2014-2015,,SBAC-1-IT|8-11,,,,,"11-12.RI.1	",1-IT|8-11,,,1,2.30E+03,2.49E+03,2,2.49E+03,2.58E+03,3,2.58E+03,2.68E+03,4,2.68E+03,2.80E+03
(SBAC)SBAC-ICA-FIXED-G11E-COMBINED-Winter-2014-2015,SBAC-ICA-FIXED-G11E-COMBINED,ELA,11,interim,ICA,ELA G11 ICA,8042,2015,200-42133,200,42133,item-200-42133.xml,8042,SA,11,SBAC-ELA-v1:1-IT|9-11,"1-IT	","9-11	",200-44,,,ENU-Braille,3,ENU,,,2,,HandScored,N,FALSE,TRUE,FALSE,FALSE,34,IRTGPC,1,2,0.54904,1.96011,3.59529,,,2.7777,(SBAC)SBAC-ICA-FIXED-G11E-COMBINED-ELA-11-Winter-2014-2015,,SBAC-1-IT|9-11,,,,,"11-12.RI.2	",1-IT|9-11,,,1,2.30E+03,2.49E+03,2,2.49E+03,2.58E+03,3,2.58E+03,2.68E+03,4,2.68E+03,2.80E+03
(SBAC)SBAC-ICA-FIXED-G11E-COMBINED-Winter-2014-2015,SBAC-ICA-FIXED-G11E-COMBINED,ELA,11,interim,ICA,ELA G11 ICA,8042,2015,200-42135,200,42135,item-200-42135.xml,8042,MC,11,SBAC-ELA-v1:1-IT|10-11,"1-IT	","10-11	",200-44,,,ENU-Braille,2,ENU,,,1,,Automatic with Key,N,FALSE,TRUE,FALSE,FALSE,31,IRT3PLn,1,1,0.58419,-0.69916,0,,,-0.69916,(SBAC)SBAC-ICA-FIXED-G11E-COMBINED-ELA-11-Winter-2014-2015,,SBAC-1-IT|10-11,,,,,"11-12.RI.4	",1-IT|10-11,,,1,2.30E+03,2.49E+03,2,2.49E+03,2.58E+03,3,2.58E+03,2.68E+03,4,2.68E+03,2.80E+03
